id,name,whatsappLink,location,operatingHours
70,Giant Kangar,https://wa.me/601111058853,"Lot PS19, Ground Floor, Giant Kangar, PT 4819 Taman Putra Utama, Jalan Raja Syed Alwi, 01000 Kangar, Perlis",10AM-10PM
69,Mydin Jengka (Kiosk),https://wa.me/601158554903,"Lot GP63, Ground Floor, Mydin Mall Jengka, Bandar Jengka, 26400 Bandar Tun Razak, Pahang",10AM-10PM
68,Lotus's Indera Mahkota (Kiosk),https://wa.me/60127893740,"Lot OLG5, Ground Floor, Lotus's Indera Mahkota, Lorong IM 8/3, Bandar Indera Mahkota, 25200 Kuantan, Pahang.",10AM-10PM
67,Mydin Pulau Sebang (Kiosk),https://wa.me/60143986001,"Lot No.FPL03, First Floor, Mydin Pulau Sebang, Lot No. PT20 & PT2053, Town of Pulau Sebang, Section 11, Mukim of Pulau Sebang, Alor Gajah, 73000 Melaka.",10AM-10PM
66,Mydin Jasin Melaka (Kiosk),https://wa.me/60107695400,"PT 8537, Seksyen 1 Bandar Jasin Bestari, 77200 Jasin, Melaka",10AM-10PM
65,Mydin MITC (Kiosk),https://wa.me/60149226387,"Lot GPL-38, Ground Floor, Mydin Mall MITC, No. 12, Hang Tuah Jaya, Melaka, 75450 Ayer Keroh, Melaka",10AM-10PM
64,KB Mall Kelantan (Dealer),https://wa.me/601159191697,"Kiosk 3K47 & 3K48, 3rd Floor, KB Mall, Jalan Hamzah, Bandar Kota Bharu, 15050 Kota Bharu, Kelantan",10AM-10PM
63,Econsave Pasir Puteh (Retail Store),https://wa.me/601159190980,"Lot No. PP27, Ground Floor, Econsave Pasir Puteh, Lot PT 2980, Jalan Pasir Puteh - Kampung Tok Bali, Sentral 1 Central, 16800 Pasir Puteh, Kelantan",10AM-10PM
62,Mydin Tunjong Mall (Kiosk),https://wa.me/601158754983,"FPL-94 Mydin Mall Tunjong, Lot PT666, Jalan Kuala Krai, 16010 Kota Bharu, Kelantan",10AM-10PM
61,Lotus's Mergong (Retail Store),https://wa.me/601159191303,"GOL-10, Ground Floor, Lotus's Mergong, No. 1, Sultanah Bahiyah Hwy, Bandar Baru Mergong, 05150 Alor Setar, Kedah",10AM-10PM
60,Mydin Taman Batik Sg. Petani (Kiosk),https://wa.me/601159187088,"Lot No. P06, Ground Floor, Mydin Wholesale Hypermarket Taman Batik, G-06, Jalan Batik 2/2A, Taman Batik, 08000 Sungai Petani, Kedah",10AM-10PM
